exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Barbell Bent Knee Good-morning,https://exrx.net/WeightExercises/GluteusMaximus/BBBentKneeGoodMorning,Gluteus Maximus,Adductor Magnus; Hamstrings,,Erector Spinae; Quadriceps,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Barbell Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/BBDeadlift,Gluteus Maximus,Quadriceps; Adductor Magnus; Hamstrings (top half); Soleus,Hamstrings (bottom half); Gastrocnemius,"Erector Spinae; Trapezius, Middle; Trapezius, Upper; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Stiff Leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/BBStiffLegDeadlift,Gluteus Maximus,Erector Spinae; Adductor Magnus; Hamstrings,,"Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Straight-back Stiff-leg Deadlift,https://exrx.net/WeightExercises/GluteusMaximus/BBStrBackStiffLegDeadlift,Gluteus Maximus,Hamstrings; Adductor Magnus,,"Erector Spinae; Quadriceps; Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Barbell Hip Thrust,https://exrx.net/WeightExercises/GluteusMaximus/BBHipThrust,Gluteus Maximus,Quadriceps,Hamstrings,Erector Spinae,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Lunge,https://exrx.net/WeightExercises/GluteusMaximus/BBLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae; Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Rear Lunge,https://exrx.net/WeightExercises/GluteusMaximus/BBRearLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Single Leg Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/BBSingleLegSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Single Leg Squat,https://exrx.net/WeightExercises/GluteusMaximus/BBSingleLegSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,"Deltoid, Anterior; Pectoralis Major, Clavicular; Deltoid, Lateral; Trapezius, Upper; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,
Barbell Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/BBSplitSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
