exercise_name,exercise_url,body_part,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers
Barbell Standing Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BBStandingCalfRaise,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Cable Belt Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/CBStandingCalfRaise,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Cable One Arm Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/CBOneArmSingleLegCalfRaise,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",
Dumbbell Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/DBStandingCalfRaise,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus",
Dumbbell Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/DBSingleLegCalfRaise,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",
Lever 45° Calf Press (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LV45CalfPress,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Calf Extension (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfExtensionHammer,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Isolateral Seated Calf Press (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfPressH,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Standing Calf Raise (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVStandingCalfRaisePL,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",
Lever 45° Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LV45CalfRaise,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Calf Extension,https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfExtension,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Donkey Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LVDonkeyCalfRaise,Calves,Gastrocnemius,Soleus,,"Serratus Anterior; Pectoralis Minor; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis",
Lever Seated Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfPress,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Lever Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LVStandingCalfRaise,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",
Sled 45° Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SL45CalfPress,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Sled 45° Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SL45CalfRaise,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Sled Donkey Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SLDonkeyCalfRaise,Calves,Gastrocnemius,Soleus,,"Serratus Anterior; Pectoralis Minor; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis",
Sled Lying Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SLLyingCalfPress,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Sled Seated Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SLSeatedCalfPress,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Sled Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SLStandingCalfRaise,Calves,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",
Smith Standing Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SMStandingCalfRaise,Calves,Gastrocnemius,Soleus,,No significant stabilizers,
Weighted Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/WTSingleLegCalfRaise,Calves,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,
Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BWStandingCalfRaise,Calves,Gastrocnemius,Soleus,,,
Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BWSingleLegCalfRaise,Calves,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,
Self-assisted Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/ASSingleLegCalfRaiseSelf,Calves,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,
Suspended Forward Angled Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/STSingleLegForwardAngledCalfRaise,Calves,Gastrocnemius,Soleus,,"Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Hip External Rotators; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Triceps Brachii; Latissimus Dorsi; Teres Major; Rhomboids; Levator Scapulae; Deltoid, Posterior; Coracobrachialis; Rectus Abdominis; Quadriceps; Wrist Flexors",
Safety Bar Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/SBSeatedCalfRaise,Calves,Soleus,Gastrocnemius,,No significant stabilizers,
Lever Seated Calf Raise (plate loaded),https://exrx.net/WeightExercises/Soleus/LVSeatedCalfRaiseH,Calves,Soleus,Gastrocnemius,,No significant stabilizers,
Lever Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/LVSeatedCalfRaise,Calves,Soleus,Gastrocnemius,,No significant stabilizers,
Smith Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/SMSeatedCalfRaise,Calves,Soleus,Gastrocnemius,,No significant stabilizers,
Safety Bar Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/SBReverseCalfRaise,Calves,Tibialis Anterior,,,No significant stabilizers,
Cable Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/CBReverseCalfRaise,Calves,Tibialis Anterior,,,No significant stabilizers,
Cable Single Leg Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/CBSingleLegReverseCalfRaise,Calves,Tibialis Anterior,,,No significant stabilizers,
Dumbbell Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/DBReverseCalfRaise,Calves,Tibialis Anterior,,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",
Dumbbell Single Leg Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/DBSingleLegRevCalfRaise,Calves,Tibialis Anterior,,,"Gluteus Medius; Gluteus Maximus; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",
Lever 45° Reverse Calf Press (plate loaded),https://exrx.net/WeightExercises/TibialisAnterior/LV45ReverseCalfPress,Calves,Tibialis Anterior,,,No significant stabilizers,
